date,FIAT,VOLKSWAGEN,GENERAL MOTORS,FORD,RENAULT,TOYOTA,HYUNDAI,HONDA,NISSAN,MERCEDES-BENZ
2005/1/3,812,831,237,449,74,68,0,85,23,66
2005/1/4,1210,1333,365,724,144,177,1,188,40,129
2005/1/5,1128,2031,377,827,201,149,4,198,42,121
2005/1/6,1438,1679,578,823,209,159,1,200,50,178
2005/1/7,1321,1879,616,870,207,153,4,230,56,161
2005/1/8,31,17,17,15,2,5,0,1,0,2
2005/1/9,1,2,0,0,0,0,0,0,0,5
2005/1/10,946,1128,551,602,163,98,1,131,27,105
2005/1/11,1161,1281,685,798,104,107,5,173,34,100
2005/1/12,1076,1427,722,797,164,118,8,199,28,154
2005/1/13,1124,1217,836,826,187,103,4,226,43,124
2005/1/14,1201,1431,872,895,181,107,6,205,44,172
2005/1/15,31,27,16,21,6,0,1,8,0,1
2005/1/16,0,1,0,0,0,0,0,0,0,12
2005/1/17,845,978,618,613,142,64,6,134,28,110
2005/1/18,1134,1218,915,710,189,79,4,223,57,98
2005/1/19,1223,1469,968,864,197,86,9,208,40,97
2005/1/20,1149,1257,842,868,196,90,5,210,28,126
2005/1/21,1378,1311,983,939,186,101,7,236,139,153
2005/1/22,25,27,12,15,6,4,0,2,0,11
2005/1/23,0,1,1,0,0,0,0,0,0,0
2005/1/24,1061,983,715,567,158,91,7,174,29,96
2005/1/25,1093,1021,749,694,212,89,4,162,27,152
2005/1/26,1273,1180,787,812,177,115,4,244,48,103
2005/1/27,1255,1257,916,856,174,148,10,270,47,120
2005/1/28,1232,1303,952,913,152,154,3,237,30,170
2005/1/29,49,35,20,30,10,2,0,16,1,4
2005/1/30,0,0,0,0,0,0,0,0,0,0
2005/1/31,1475,1398,1449,947,232,164,5,228,37,164
2005/2/1,1539,1487,1155,862,282,214,3,260,40,152
2005/2/2,1509,1601,1227,1020,189,251,4,294,41,158
2005/2/3,1850,1616,1240,1080,306,307,6,307,38,162
2005/2/4,1763,1776,1259,1140,250,277,7,263,42,200
2005/2/5,4,1,0,1,0,0,0,0,0,0
2005/2/6,0,0,0,0,0,0,0,0,0,0
2005/2/7,9,5,2,2,1,0,0,0,0,0
2005/2/8,0,0,2,0,0,0,0,0,0,0
2005/2/9,404,371,258,209,80,44,3,47,12,47
2005/2/10,1368,1320,1003,767,222,146,6,218,22,169
2005/2/11,1796,1631,1346,841,218,185,7,246,29,181
2005/2/12,22,15,9,8,3,2,0,2,0,4
2005/2/13,2,0,1,0,0,0,0,0,0,0
2005/2/14,1451,1338,1278,734,159,125,2,174,20,173
2005/2/15,1398,1481,1226,725,173,174,3,226,23,160
2005/2/16,1482,1639,1431,858,220,176,0,225,22,154
2005/2/17,1534,1613,1428,918,228,169,1,200,44,157
2005/2/18,1726,1579,1520,896,196,227,8,212,32,173
2005/2/19,31,27,17,14,3,2,0,1,0,1
2005/2/20,5,0,0,0,0,1,0,0,0,0
2005/2/21,1163,1213,1017,614,154,124,3,142,17,182
2005/2/22,1586,1693,1673,741,171,194,2,245,25,151
2005/2/23,1599,1760,2181,833,222,187,5,275,28,181
2005/2/24,1622,1657,1069,882,186,145,1,239,36,192
2005/2/25,1897,1770,1297,970,195,218,0,274,50,175
2005/2/26,33,46,22,21,7,0,0,7,0,3
2005/2/27,6,4,5,3,0,0,0,1,0,0
2005/2/28,1330,1176,953,758,126,145,0,235,26,92
2005/3/1,1520,1543,1115,864,194,159,4,264,45,194
2005/3/2,1567,1662,1158,936,183,253,3,345,32,212
2005/3/3,1726,1522,1248,856,206,230,4,279,28,159
2005/3/4,1771,1558,1272,948,222,204,3,251,37,165
2005/3/5,56,28,18,14,4,3,1,5,0,1
2005/3/6,1,1,0,0,0,0,0,0,0,0
2005/3/7,1427,1364,979,678,237,131,7,180,33,168
2005/3/8,1578,1583,1331,751,204,199,6,218,25,220
2005/3/9,1492,1494,1281,792,152,218,5,206,31,155
2005/3/10,1574,1703,1742,869,196,232,5,229,41,169
2005/3/11,1517,1671,1681,818,212,222,5,219,70,211
2005/3/12,34,27,16,25,4,5,0,3,0,2
2005/3/13,0,0,0,0,0,0,0,0,0,0
2005/3/14,1197,1169,1423,686,170,176,4,153,37,130
2005/3/15,1545,1406,1730,755,194,205,1,205,42,132
2005/3/16,1481,1555,2455,700,234,207,1,224,60,175
2005/3/17,1623,1628,1388,892,192,240,6,257,54,178
