date,Open,High,Low,Close,Volume,InterestRate,ExchangeRate,VIX,TEDSpread,EFFR,Gold,Oil
2010/1/4,6.639999866,6.809999943,6.633333206,6.746666908,6514500,0.11,1.4419,20.04,0.17,0.12,1117.699951,81.51000214
2010/1/5,6.643332958,6.773333073,6.643332958,6.766666889,4445100,0.11,1.4402,19.35,0.18,0.12,1118.099976,81.76999664
2010/1/6,6.733333111,6.78666687,6.71999979,6.763332844,7340100,0.11,1.4404,19.16,0.19,0.12,1135.900024,83.18000031
2010/1/7,6.75,6.766666889,6.630000114,6.673333168,8498400,0.11,1.4314,19.06,0.2,0.1,1133.099976,82.66000366
2010/1/8,6.676667213,6.766666889,6.626667023,6.743332863,4347600,0.11,1.4357,18.13,0.2,0.11,1138.199951,82.75
2010/1/11,6.746666908,6.800000191,6.699999809,6.760000229,5364300,0.11,1.4536,17.55,0.21,0.11,1150.699951,82.51999664
2010/1/12,6.71999979,6.766666889,6.606667042,6.643332958,5198400,0.11,1.4523,18.25,0.2,0.11,1128.900024,80.79000092
2010/1/13,6.616666794,6.716667175,6.583333015,6.706666946,6831900,0.11,1.4492,17.85,0.19,0.11,1136.400024,79.65000153
2010/1/14,6.673333168,6.763332844,6.643332958,6.75,4493700,0.11,1.4478,17.63,0.2,0.11,1142.599976,79.38999939
2010/1/15,6.739999771,6.800000191,6.676667213,6.71999979,6981900,0.11,1.4376,17.91,0.19,0.12,1130.099976,78
2010/1/18,6.739999771,6.800000191,6.676667213,6.71999979,6981900,0.11,1.4376,17.91,0.19,0.12,1130.099976,78
2010/1/19,6.71999979,6.746666908,6.679999828,6.710000038,3156900,0.11,1.4269,17.58,0.19,0.13,1139.699951,79.01999664
2010/1/20,6.673333168,6.699999809,6.563333035,6.643332958,5761500,0.11,1.4094,18.68,0.2,0.13,1112.300049,77.62000275
2010/1/21,6.663332939,6.663332939,6.300000191,6.323332787,13422900,0.11,1.4106,22.27,0.19,0.12,1102.699951,76.08000183
2010/1/22,6.303332806,6.343332767,6.093332767,6.113333225,11661000,0.11,1.4154,27.31,0.19,0.11,1089.199951,74.54000092
2010/1/25,6.196667194,6.196667194,6.083333015,6.116666794,7927800,0.11,1.4146,25.41,0.19,0.12,1095.199951,75.26000214
2010/1/26,6.050000191,6.143332958,6.033332825,6.033332825,7707900,0.11,1.4063,24.55,0.18,0.12,1097.900024,74.70999908
2010/1/27,6.039999962,6.139999866,6.03000021,6.116666794,9267300,0.11,1.4053,23.14,0.17,0.12,1084.400024,73.66999817
2010/1/28,6.136666775,6.18333292,6.043333054,6.079999924,5370300,0.11,1.3993,23.73,0.17,0.12,1083.599976,73.63999939
2010/1/29,6.090000153,6.156667233,5.996666908,5.996666908,9038700,0.11,1.387,24.62,0.17,0.12,1083,72.88999939
2010/2/1,6.050000191,6.199999809,6.016666889,6.139999866,12008700,0.13,1.3904,22.59,0.15,0.14,1104.300049,74.43000031
2010/2/2,6.153333187,6.239999771,6.133333206,6.193333149,5548800,0.13,1.3955,21.48,0.15,0.14,1117.400024,77.23000336
2010/2/3,6.413332939,6.423333168,6.239999771,6.353332996,18415500,0.13,1.3907,21.6,0.15,0.13,1111.400024,76.98000336
2010/2/4,6.309999943,6.309999943,6.110000134,6.119999886,11436000,0.13,1.3759,26.08,0.16,0.14,1062.400024,73.13999939
2010/2/5,6.096666813,6.269999981,6.096666813,6.266666889,8810100,0.13,1.3608,26.11,0.15,0.13,1052.199951,71.19000244
2010/2/8,6.289999962,6.31666708,5.996666908,6.016666889,12658200,0.13,1.3699,26.51,0.13,0.13,1065.699951,71.88999939
2010/2/9,6.096666813,6.173333168,6.019999981,6.06666708,17238900,0.13,1.3795,26,0.13,0.13,1076.699951,73.75
2010/2/10,6.050000191,6.086667061,5.973332882,6.03000021,11768700,0.13,1.3722,25.4,0.14,0.12,1075.800049,74.51999664
2010/2/11,6.010000229,6.106667042,5.996666908,6.050000191,9231300,0.13,1.364,23.96,0.14,0.12,1094.199951,75.27999878
2010/2/12,6.010000229,6.133333206,5.956666946,6.096666813,12387600,0.13,1.3625,22.73,0.15,0.12,1089.5,74.12999725
2010/2/15,6.010000229,6.133333206,5.956666946,6.096666813,12387600,0.13,1.3625,22.73,0.15,0.12,1089.5,74.12999725
2010/2/16,6.150000095,6.206666946,6.090000153,6.18333292,9264600,0.13,1.3742,22.25,0.15,0.13,1119.300049,77.01000214
2010/2/17,6.203332901,6.230000019,6.126667023,6.190000057,7142700,0.13,1.3623,21.72,0.15,0.12,1119.5,77.33000183
2010/2/18,6.096666813,6.216667175,6.096666813,6.203332901,6653100,0.13,1.3563,20.63,0.15,0.12,1118,79.05999756
2010/2/19,6.199999809,6.243332863,6.163332939,6.210000038,6201900,0.13,1.3538,20.02,0.14,0.13,1121.300049,79.80999756
2010/2/22,6.199999809,6.216667175,6.170000076,6.176667213,3662400,0.13,1.359,19.94,0.14,0.12,1112.599976,80.16000366
2010/2/23,6.199999809,6.21999979,6.130000114,6.146667004,6428400,0.13,1.3537,21.37,0.13,0.12,1102.699951,78.86000061
2010/2/24,6.166666985,6.236667156,6.119999886,6.199999809,6550500,0.13,1.3576,20.27,0.13,0.11,1096.5,80
2010/2/25,6.099999905,6.233333111,6.093332767,6.223332882,5906400,0.13,1.3476,20.1,0.12,0.12,1107.800049,78.16999817
2010/2/26,6.210000038,6.256667137,6.153333187,6.210000038,5703000,0.13,1.366,19.5,0.12,0.13,1118.300049,79.66000366
2010/3/1,6.233333111,6.269999981,6.190000057,6.266666889,5836500,0.16,1.3516,19.26,0.12,0.14,1117.800049,78.69999695
2010/3/2,6.320000172,6.480000019,6.31666708,6.416666985,10055100,0.16,1.3564,19.06,0.11,0.14,1136.900024,79.68000031
2010/3/3,6.449999809,6.523333073,6.420000076,6.480000019,7612200,0.16,1.3731,18.83,0.11,0.15,1142.699951,80.87000275
2010/3/4,6.436666965,6.623332977,6.436666965,6.583333015,10386000,0.16,1.3571,18.72,0.11,0.16,1132.599976,80.20999908
2010/3/5,6.563333035,6.703332901,6.563333035,6.676667213,10438200,0.16,1.3608,17.42,0.1,0.17,1134.800049,81.5
2010/3/8,6.636666775,6.696667194,6.583333015,6.690000057,8087700,0.16,1.3613,17.79,0.09,0.15,1123.599976,81.87000275
2010/3/9,6.643332958,6.746666908,6.633333206,6.716667175,7794300,0.16,1.3586,17.92,0.1,0.14,1122,81.48999786
2010/3/10,6.71333313,6.75,6.676667213,6.739999771,9172500,0.16,1.3658,18.57,0.11,0.14,1107.800049,82.08999634
2010/3/11,6.670000076,6.756667137,6.670000076,6.746666908,5084400,0.16,1.3674,18.06,0.1,0.15,1108,82.11000061
2010/3/12,6.760000229,6.806666851,6.746666908,6.766666889,4017600,0.16,1.3753,17.58,0.11,0.17,1101.5,81.23999786
2010/3/15,6.766666889,6.769999981,6.613333225,6.760000229,8693100,0.16,1.3652,18,0.09,0.2,1105.099976,79.80000305
2010/3/16,6.756667137,6.783332825,6.71333313,6.75,8693700,0.16,1.3758,17.69,0.1,0.2,1122.199951,81.69999695
2010/3/17,6.783332825,6.893332958,6.736667156,6.836667061,8184000,0.16,1.3739,16.91,0.12,0.18,1124,82.93000031
2010/3/18,6.876667023,6.956666946,6.866666794,6.909999847,7291800,0.16,1.3603,16.62,0.11,0.18,1127.400024,82.19999695
2010/3/19,6.953332901,7.023333073,6.873332977,7.010000229,12896700,0.16,1.353,16.97,0.12,0.18,1107.400024,80.68000031
2010/3/22,6.943333149,6.96999979,6.833333015,6.93333292,6894000,0.16,1.3531,16.87,0.13,0.18,1099.300049,81.25
2010/3/23,6.913332939,6.986667156,6.903333187,6.980000019,5538300,0.16,1.3535,16.35,0.14,0.17,1103.5,81.91000366
2010/3/24,6.93333292,7.03666687,6.913332939,6.996666908,6949500,0.16,1.3347,17.55,0.14,0.17,1088.599976,80.61000061
2010/3/25,7.006667137,7.070000172,6.980000019,6.989999771,6603000,0.16,1.3344,18.4,0.15,0.17,1092.699951,80.52999878
2010/3/26,7.099999905,7.099999905,6.949999809,7.016666889,6141000,0.16,1.3398,17.77,0.15,0.17,1104.199951,80
2010/3/29,7.026667118,7.076666832,7.013332844,7.053332806,4236300,0.16,1.3465,17.59,0.14,0.16,1110.300049,82.16999817
2010/3/30,7.063333035,7.096666813,7.006667137,7.019999981,4555500,0.16,1.3409,17.13,0.13,0.16,1104.5,82.37000275
2010/3/31,6.966667175,7.110000134,6.966667175,7.039999962,5974200,0.16,1.3526,17.59,0.13,0.09,1113.300049,83.76000214
2010/4/1,7.096666813,7.116666794,7,7.050000191,6013500,0.2,1.3569,17.47,0.13,0.17,1125.099976,84.87000275
2010/4/2,7.096666813,7.116666794,7,7.050000191,6013500,0.2,1.3487,17.47,0.13,0.2,1125.099976,84.87000275
2010/4/5,7.090000153,7.223332882,7.070000172,7.203332901,7216500,0.2,1.3486,17.02,0.13,0.2,1132.900024,86.62000275
2010/4/6,7.190000057,7.236667156,7.166666985,7.230000019,8089800,0.2,1.3378,16.23,0.12,0.2,1135.099976,86.83999634
2010/4/7,7.193333149,7.21999979,7.106667042,7.139999866,7172100,0.2,1.3364,16.62,0.13,0.19,1152.300049,85.87999725
2010/4/8,7.136666775,7.269999981,7.096666813,7.236667156,6653100,0.2,1.336,16.48,0.12,0.19,1152.199951,85.38999939
2010/4/9,7.226666927,7.303332806,7.179999828,7.303332806,6855900,0.2,1.3468,16.14,0.14,0.19,1161.099976,84.91999817
2010/4/12,7.296667099,7.373332977,7.269999981,7.346666813,5529300,0.2,1.3587,15.58,0.14,0.19,1161.599976,84.33999634
2010/4/13,7.346666813,7.356667042,7.239999771,7.329999924,6496500,0.2,1.3592,16.2,0.14,0.2,1152.800049,84.05000305
2010/4/14,7.369999886,7.440000057,7.309999943,7.436666965,6025200,0.2,1.3666,15.59,0.14,0.2,1159,85.83999634
2010/4/15,7.413332939,7.426667213,7.323332787,7.393332958,8909400,0.2,1.354,15.89,0.14,0.22,1159.699951,85.51000214
2010/4/16,7.373332977,7.389999866,7.119999886,7.133333206,17987400,0.2,1.3487,18.36,0.15,0.21,1136.300049,83.23999786
2010/4/19,7.093332767,7.193333149,7.043333054,7.193333149,10053300,0.2,1.3458,17.34,0.15,0.2,1135.199951,81.44999695
2010/4/20,7.203332901,7.300000191,7.186666965,7.236667156,8505300,0.2,1.3446,15.73,0.15,0.2,1138.599976,83.44999695
2010/4/21,7.236667156,7.296667099,7.190000057,7.28000021,11114700,0.2,1.3383,16.32,0.16,0.2,1148.199951,83.68000031
2010/4/22,7.193333149,7.420000076,7.150000095,7.420000076,10913700,0.2,1.3298,16.47,0.16,0.2,1142.300049,83.69999695
2010/4/23,7.386666775,7.593332767,7.380000114,7.559999943,9428400,0.2,1.336,16.62,0.16,0.2,1153.099976,85.12000275
2010/4/26,7.559999943,7.703332901,7.496666908,7.653333187,8950800,0.2,1.3336,17.47,0.16,0.2,1153.5,84.19999695
2010/4/27,7.473332882,7.526667118,7.25,7.256667137,15733200,0.2,1.323,22.81,0.17,0.2,1161.699951,82.44000244
2010/4/28,7.306666851,7.43333292,7.056666851,7.063333035,14448600,0.2,1.313,21.08,0.18,0.2,1171.300049,83.22000122
2010/4/29,7.150000095,7.313333035,7.073332787,7.28000021,12882000,0.2,1.3243,18.44,0.17,0.19,1168.400024,85.16999817
2010/4/30,6.946667194,7.130000114,6.866666794,7,21171600,0.2,1.3302,22.05,0.19,0.2,1180.099976,86.15000153
2010/5/1,6.946667194,7.130000114,6.866666794,7,21171600,0.2,1.3302,22.05,0.19,0.2,1180.099976,86.15000153
2010/5/3,7.093332767,7.139999866,6.926667213,7.03666687,7880700,0.2,1.3183,20.19,0.19,0.2,1182.699951,86.19000244
2010/5/4,6.953332901,6.966667175,6.776667118,6.800000191,10046400,0.2,1.3037,23.84,0.19,0.21,1168.599976,82.73999786
2010/5/5,6.710000038,7.010000229,6.639999866,6.953332901,12424800,0.2,1.289,24.91,0.21,0.21,1174.599976,79.97000122
2010/5/6,6.946667194,7.013332844,6.5,6.716667175,13168500,0.2,1.2689,32.8,0.26,0.2,1196.900024,77.11000061
2010/5/7,6.690000057,6.736667156,6.323332787,6.373332977,27633300,0.2,1.2721,40.95,0.3,0.2,1210,75.11000061
2010/5/10,6.623332977,6.663332939,6.523333073,6.539999962,19566600,0.2,1.2861,28.84,0.26,0.2,1200.400024,76.80000305
2010/5/11,6.5,6.663332939,6.426667213,6.53666687,13051500,0.2,1.2715,28.32,0.26,0.2,1219.900024,76.37000275
